"area";"selection";"stop";"length_mean";"length_median";"min_length";"max_length";"se";"correlation";"rmse";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"CN";"MIF";"EP30";20,4014241210503;15;15;60;0,242393692648609;0,947232359890443;0,232907864288636;0,00797946031514312;0;1;597;20;0,339111796449821
"CN";"MIF";"EP30";21,0008900756564;15;15;60;0,245068522852905;0,948993421183839;0,231480484261195;0,0183595266386028;0;1;580;20;0,33631813958589
"CN";"MIF";"EP30";20,7948375611927;15;15;60;0,244252408730242;0,943784200551805;0,243283539470821;0,021902876322375;0;1;586;20;0,338892696432636
"CN";"MIF";"EP30";20,7191811303961;15;15;60;0,244261399518981;0,946992533664162;0,235101271807152;0,0210165001681926;0;1;586;20;0,339343370563334
"CN";"MIF";"EP30";20,8437917222964;15;15;60;0,24542017558385;0,942444714417079;0,244784690882246;0,023210580531516;0;1;590;20;0,341481413826914
"CN";"MIF";"EP30";20,537160658656;15;15;60;0,24355437364509;0,94473154848902;0,239188586288235;0,0117557707865165;0;1;588;20;0,33926900981634
"CN";"MIF";"EP30";20,3787271918113;15;15;60;0,242966117141004;0,946306623691821;0,234604210913883;0,00628760816534171;0;1;590;20;0,339674930437266
"CN";"MIF";"EP30";20,4343569203382;15;15;60;0,243274002909124;0,943938676343573;0,239755852790287;0,00967219144318459;0;1;585;20;0,34153991772984
"CN";"MIF";"EP30";20,7076101468625;15;15;60;0,244080804672266;0,943102642507659;0,243891154791929;0,020120581424137;0;1;579;19;0,342337712073246
"CN";"MIF";"EP30";20,8224299065421;15;15;60;0,244274545148162;0,947212755212503;0,234908568451136;0,0156815451560699;0;1;588;20;0,338718606846308
"CN";"MIF";"EP30";20,9216733422341;15;15;60;0,244017205198481;0,951836675701654;0,223962192623924;0,0221226879879883;0;1;594;20;0,341223484543292
"CN";"MIF";"EP30";20,7690253671562;15;15;60;0,245382008331927;0,943877788024046;0,242034440514244;0,0246659837168862;0;1;584;20;0,340424166404706
"CN";"MIF";"EP30RE015";15,0854472630174;15;15;19;0,264462316458384;0,939965713863651;0,255837225603032;0,0334784862240244;0;1;644;19;0,392314650843029
"CN";"MIF";"EP30RE015";15,0983533600356;15;15;19;0,264370146629197;0,940475331590593;0,253459596178798;0,0371544626763374;0;1;646;19;0,39272351738296
"CN";"MIF";"EP30RE015";15,0872274143302;15;15;19;0,264244199447741;0,940056767591087;0,254621425351233;0,0329813101978056;0;1;642;19;0,389734136073877
"CN";"MIF";"EP30RE015";15,1019136626613;15;15;18;0,266073200106711;0,940809763225541;0,259625826203786;0,038914791942432;0;1;642;19;0,386797571316282
"CN";"MIF";"EP30RE015";15,0890075656431;15;15;19;0,264523957719977;0,93343486509185;0,267351175013824;0,0283130559560439;0;1;643;19;0,3887318732076
"CN";"MIF";"EP30RE015";15,0872274143302;15;15;20;0,264742053351652;0,939556197963827;0,257736542791997;0,0399435332067657;0;1;644;19;0,391382145244064
"CN";"MIF";"EP30RE015";15,0939029817534;15;15;20;0,264633937117139;0,942165752499634;0,252198792138578;0,0336440758041704;0;1;644;19;0,388867351696353
"CN";"MIF";"EP30RE015";15,097018246551;15;15;20;0,264868272310085;0,93834439074272;0,261883905838756;0,03596561055278;0;1;643;19;0,386729371569145
